11-15 04:23 root         INFO     Verifying the input sequences.
11-15 04:23 root         INFO     Sequences are assumed to be single-end.
11-15 04:23 root         INFO     Temporary directory is: /tmp/itsxpress_2sze8hzl
11-15 04:23 root         INFO     Unique sequences are being written to a temporary FASTA file with Vsearch.
11-15 04:23 root         INFO     WARNING: The derep_fulllength command does not support multithreading.
Only 1 thread used.
vsearch v2.15.2_linux_x86_64, 7.7GB RAM, 8 cores
https://github.com/torognes/vsearch

Dereplicating file F2-16s_T1_L001_R1_001.fastq.gz 100%
3119345 nt in 9996 seqs, min 33, max 406, avg 312
minseqlength 32: 4 sequences discarded.
Sorting 100%
6254 unique sequences, avg cluster 1.6, median 1, max 347
Writing output file 100%
Writing uc file, first part 100%
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00172:02425, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00522:03622, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00066:03367, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00593:03839, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00005:00596, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00805:06610, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00519:01862, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00329:04964, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00582:00505, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00318:06967, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00370:04073, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00586:07293, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00030:02025, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00088:07251, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00179:02734, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00047:05322, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00127:00965, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00178:07273, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00740:01547, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00214:02118, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00692:02538, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00702:01767, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00531:04851, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00370:04073, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00764:03009, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00001:04406, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00843:04202, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00057:05229, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00693:05220, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00633:02768, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00008:00543, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00102:07215, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00095:05728, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00739:01007, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00855:05064, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00280:07159, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00638:04100, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00121:06888, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00130:07308, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00006:06357, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00365:06202, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00293:01684, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00062:03910, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00473:00259, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00811:06289, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00668:01879, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00025:05653, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00439:05510, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00538:00433, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00049:05527, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00248:00608, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00212:02759, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00292:00326, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00079:07056, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00067:03224, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00085:03352, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00254:05367, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00619:03110, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00673:04769, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00103:01752, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00348:03000, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00115:02226, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00501:06869, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00297:04103, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00609:02381, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00792:06661, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00520:06000, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00036:05272, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00298:01519, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00390:07414, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00754:07027, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00312:05464, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00622:04803, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00749:02300, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00333:07367, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00188:06911, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00387:03571, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00518:07317, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00596:01267, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00430:00774, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00104:07091, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00437:04965, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00796:04238, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00471:06410, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00698:01329, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00522:03622, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00071:02367, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00374:02753, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00565:00378, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00286:07224, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00142:02159, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00520:03219, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00108:06977, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00095:04803, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00194:02821, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00027:06166, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00650:04187, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00046:05797, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00365:07339, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00349:05783, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00506:01289, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00499:07432, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00113:06233, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00242:00699, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00071:02367, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00580:04911, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00265:01993, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00696:01708, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00269:05842, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00460:00651, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00071:04972, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00003:02253, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00610:05327, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00216:04334, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00371:06393, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00161:06890, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00227:00680, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00491:02712, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00212:02759, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00358:02670, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00243:04918, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00846:05864, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00501:06869, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00714:01517, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00247:06710, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00644:03279, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00679:00202, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00216:07359, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00379:03410, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00242:00699, skipping.
11-15 04:24 root         DEBUG    No ITS stop or start sites were identified for sequence 7B5ST:00003:00467, skipping.
11-15 04:24 root         INFO     ITSxpress ran in 00:01:29
